BHID,FROM,TO,LITHO_DESC,lithoID
16705,16.94,22.09,Intermediate to Ultramafic Volcanics,5
16705,22.09,25.9,Felsic to Intermediate Dykes,3
16706,0,7.62,Casing,1
16706,7.62,8.22,Felsic to Intermediate Dykes,3
16706,8.22,11.39,Intermediate to Ultramafic Volcanics,5
16706,11.39,11.85,Felsic to Intermediate Dykes,3
16706,11.85,14.47,Intermediate to Ultramafic Volcanics,5
16706,14.47,15.54,Shear Zone,4
16706,15.54,23.77,Felsic to Intermediate Dykes,3
16706,23.77,24.44,Intermediate to Ultramafic Volcanics,5
16706,24.44,35.38,Felsic to Intermediate Dykes,3
16706,35.38,36.57,Intermediate to Ultramafic Volcanics,5
16707,0,7.92,Casing,1
16707,7.92,9.38,Felsic to Intermediate Dykes,3
16707,9.38,9.63,Intermediate to Ultramafic Volcanics,5
16707,9.63,18.53,Felsic to Intermediate Dykes,3
16707,18.53,19.75,Shear Zone,4
16707,19.75,21.76,Felsic to Intermediate Dykes,3
16707,21.76,33.52,Intermediate to Ultramafic Volcanics,5
16708,0,12.19,Casing,1
16708,12.19,14.93,Felsic to Intermediate Dykes,3
16708,14.93,16,Felsic to Intermediate Dykes,3
16708,16,23.46,Intermediate to Ultramafic Volcanics,5
16708,23.46,27.21,Felsic to Intermediate Dykes,3
16708,27.21,27.98,Intermediate to Ultramafic Volcanics,5
16708,27.98,29.44,Felsic to Intermediate Dykes,3
16708,29.44,30.9,Shear Zone,4
16708,30.9,35.47,Intermediate to Ultramafic Volcanics,5
16708,35.47,43.28,Felsic to Intermediate Dykes,3
16708,43.28,43.83,Shear Zone,4
16708,43.83,44.71,Quartz-Tourmaline Veins,10
16709,0,12.8,Casing,1
16709,12.8,14.63,Intermediate to Ultramafic Volcanics,5
16709,14.63,15.24,Felsic to Intermediate Dykes,3
16709,15.24,17.06,Intermediate to Ultramafic Volcanics,5
16709,17.06,18.16,Shear Zone,4
16709,18.16,21.51,Felsic to Intermediate Dykes,3
16709,21.51,25.54,Early Diorite,2
16709,25.54,27.73,Felsic to Intermediate Dykes,3
16709,27.73,31.57,Early Diorite,2
16709,31.57,33.52,Intermediate to Ultramafic Volcanics,5
16710,0,10.36,Casing,1
16710,10.36,21.36,Intermediate to Ultramafic Volcanics,5
16710,21.36,26.73,Felsic to Intermediate Dykes,3
16710,26.73,28.22,Shear Zone,4
16710,28.22,31.08,Felsic to Intermediate Dykes,3
16710,31.08,36.14,Intermediate to Ultramafic Volcanics,5
16710,36.14,37.3,Felsic to Intermediate Dykes,3
16711,0,13.1,Casing,1
16711,13.1,23.95,Intermediate to Ultramafic Volcanics,5
16711,23.95,25.38,Felsic to Intermediate Dykes,3
16711,25.38,26.09,Intermediate to Ultramafic Volcanics,5
16711,26.09,27.73,Felsic to Intermediate Dykes,3
16711,27.73,36.57,Intermediate to Ultramafic Volcanics,5
16712,0,10.66,Casing,1
16712,10.66,13.01,Intermediate to Ultramafic Volcanics,5
16712,13.01,15.05,Shear Zone,4
16712,15.05,18.01,Felsic to Intermediate Dykes,3
16712,18.01,35.17,Intermediate to Ultramafic Volcanics,5
16712,35.17,35.78,Shear Zone,4
16712,35.78,38,Intermediate to Ultramafic Volcanics,5
16712,38,45.72,Felsic to Intermediate Dykes,3
16713,0,10.36,No Litho,0
16713,10.36,22.15,Intermediate to Ultramafic Volcanics,5
16713,22.15,23.4,Felsic to Intermediate Dykes,3
16713,23.4,24.5,Shear Zone,4
16713,24.5,30.72,Felsic to Intermediate Dykes,3
16713,30.72,31.12,Shear Zone,4
16713,31.12,36.57,Intermediate to Ultramafic Volcanics,5
16714,0,12.19,Casing,1
16714,12.19,13.41,Intermediate to Ultramafic Volcanics,5
16714,13.41,14.32,Shear Zone,4
16714,14.32,15.45,Intermediate to Ultramafic Volcanics,5
16714,15.45,16.18,Felsic to Intermediate Dykes,3
16714,16.18,16.55,Intermediate to Ultramafic Volcanics,5
16714,16.55,24.26,Felsic to Intermediate Dykes,3
16714,24.26,28.19,Shear Zone,4
16714,28.19,29.23,Intermediate to Ultramafic Volcanics,5
16714,29.23,34.19,Felsic to Intermediate Dykes,3
16714,34.19,35.78,Intermediate to Ultramafic Volcanics,5
16714,35.78,37.27,Felsic to Intermediate Dykes,3
16714,37.27,37.79,Shear Zone,4
16714,37.79,40.84,Felsic to Intermediate Dykes,3
16714,40.84,41.54,Intermediate to Ultramafic Volcanics,5
16714,41.54,44.19,Felsic to Intermediate Dykes,3
16715,0,10.36,Casing,1
16715,10.36,11.06,Early Diorite,2
16715,11.06,14.99,Felsic to Intermediate Dykes,3
16715,14.99,15.42,Shear Zone,4
16715,15.42,21.97,Intermediate to Ultramafic Volcanics,5
16715,21.97,24.1,Felsic to Intermediate Dykes,3
16715,24.1,25.66,Intermediate to Ultramafic Volcanics,5
16715,25.66,27.34,Felsic to Intermediate Dykes,3
16715,27.34,35.05,Intermediate to Ultramafic Volcanics,5
16716,0,9.14,Casing,1
16716,9.14,30.23,Felsic to Intermediate Dykes,3
16716,30.23,35.35,Intermediate to Ultramafic Volcanics,5
16717,0,12.49,Casing,1
16717,12.49,18.8,Intermediate to Ultramafic Volcanics,5
16717,18.8,30.48,Felsic to Intermediate Dykes,3
16718,0,13.71,Casing,1
16718,13.71,17.37,Felsic to Intermediate Dykes,3
16718,17.37,30.48,Shear Zone,4
16728,0,10.05,Casing,1
16728,10.05,15.72,Intermediate to Ultramafic Volcanics,5
16728,15.72,16,Felsic to Intermediate Dykes,3
16728,16,18.28,Intermediate to Ultramafic Volcanics,5
16729,0,7.62,Casing,1
16729,7.62,11.43,Intermediate to Ultramafic Volcanics,5
16729,11.43,12.16,Felsic to Intermediate Dykes,3
16729,12.16,12.92,Intermediate to Ultramafic Volcanics,5
16729,12.92,13.8,Felsic to Intermediate Dykes,3
16729,13.8,15.63,Intermediate to Ultramafic Volcanics,5
16729,15.63,16.76,Shear Zone,4
16730,0,8.22,Casing,1
16730,8.22,9.93,Intermediate to Ultramafic Volcanics,5
16730,9.93,11.85,Felsic to Intermediate Dykes,3
16730,11.85,12.49,Intermediate to Ultramafic Volcanics,5
16730,12.49,13.47,Shear Zone,4
16730,13.47,21.33,Felsic to Intermediate Dykes,3
16730,21.33,24.04,Intermediate to Ultramafic Volcanics,5
16730,24.04,30.2,Felsic to Intermediate Dykes,3
16730,30.2,33.52,Intermediate to Ultramafic Volcanics,5
16731,0,9.14,Casing,1
16731,9.14,9.63,Intermediate to Ultramafic Volcanics,5
16731,9.63,14.47,Felsic to Intermediate Dykes,3
16731,14.47,16.76,Intermediate to Ultramafic Volcanics,5
16731,16.76,24.38,Felsic to Intermediate Dykes,3
16732,0,12.19,Casing,1
16732,12.19,21.33,Intermediate to Ultramafic Volcanics,5
16732,21.33,24.07,Felsic to Intermediate Dykes,3
16732,24.07,30.44,Felsic to Intermediate Dykes,3
16732,30.44,32,Intermediate to Ultramafic Volcanics,5
16733,0,12.8,Casing,1
16733,12.8,14.93,Intermediate to Ultramafic Volcanics,5
16733,14.93,15.54,Felsic to Intermediate Dykes,3
16733,15.54,26.7,Intermediate to Ultramafic Volcanics,5
16733,26.7,33.46,Felsic to Intermediate Dykes,3
16733,33.46,36.57,Intermediate to Ultramafic Volcanics,5
16734,0,10.36,Casing,1
16734,10.36,13.16,Intermediate to Ultramafic Volcanics,5
16734,13.16,13.71,Shear Zone,4
16734,13.71,14.69,Intermediate to Ultramafic Volcanics,5
16734,14.69,17.49,Felsic to Intermediate Dykes,3
16734,17.49,18.1,Intermediate to Ultramafic Volcanics,5
16734,18.1,18.95,Felsic to Intermediate Dykes,3
16734,18.95,20.08,Intermediate to Ultramafic Volcanics,5
16734,20.08,22.34,Felsic to Intermediate Dykes,3
16734,22.34,22.98,Shear Zone,4
16734,22.98,25.75,Felsic to Intermediate Dykes,3
16734,25.75,27.43,Intermediate to Ultramafic Volcanics,5
16735,0,9.75,Casing,1
16735,9.75,17.73,Intermediate to Ultramafic Volcanics,5
16735,17.73,22.52,Felsic to Intermediate Dykes,3
16735,22.52,24.62,Intermediate to Ultramafic Volcanics,5
16735,24.62,25.6,Felsic to Intermediate Dykes,3
16735,25.6,30.48,Intermediate to Ultramafic Volcanics,5
16736,0,9.14,Casing,1
16736,9.14,13.77,Intermediate to Ultramafic Volcanics,5
16736,13.77,25.02,Shear Zone,4
16736,25.02,30.81,Felsic to Intermediate Dykes,3
16736,30.81,32,Intermediate to Ultramafic Volcanics,5
17,0,12.34,Casing,1
17,12.34,60.5,Early Diorite,2
17563,0,7.92,Casing,1
17563,7.92,11.88,Early Diorite,2
17563,11.88,16.45,Shear Zone,4
17563,16.45,18.44,Intermediate to Ultramafic Volcanics,5
17563,18.44,20.42,Early Diorite,2
17563,20.42,22.21,Felsic to Intermediate Dykes,3
17563,22.21,22.25,Early Diorite,2
17564,0,9.29,Casing,1
17564,9.29,10.36,Felsic to Intermediate Dykes,3
17564,10.36,14.32,Early Diorite,2
17564,14.32,18.13,Shear Zone,4
17564,18.13,23.92,Intermediate to Ultramafic Volcanics,5
17564,23.92,24.74,Felsic to Intermediate Dykes,3
17564,24.74,32.3,Intermediate to Ultramafic Volcanics,5
17565,0,8.07,Casing,1
17565,8.07,8.47,Intermediate to Ultramafic Volcanics,5
17565,8.47,8.8,Felsic to Intermediate Dykes,3
17565,8.8,22.25,Intermediate to Ultramafic Volcanics,5
17565,22.25,29.56,Felsic to Intermediate Dykes,3
17565,29.56,31.08,Shear Zone,4
17566,0,8.22,Casing,1
17566,8.22,13.41,Early Diorite,2
17566,13.41,22.25,Felsic to Intermediate Dykes,3
17566,22.25,26.51,Early Diorite,2
17566,26.51,32.61,Intermediate to Ultramafic Volcanics,5
17567,0,5.39,Casing,1
17567,5.39,16.91,Intermediate to Ultramafic Volcanics,5
17567,16.91,20.57,Felsic to Intermediate Dykes,3
17567,20.57,21.64,Intermediate to Ultramafic Volcanics,5
17567,21.64,23.46,Felsic to Intermediate Dykes,3
17567,23.46,33.52,Shear Zone,4
17567,33.52,46.17,Early Diorite,2
17567,46.17,46.48,Felsic to Intermediate Dykes,3
17567,46.48,46.93,Early Diorite,2
17568,0,6.7,Casing,1
17568,6.7,21.33,Intermediate to Ultramafic Volcanics,5
17568,21.33,33.52,Felsic to Intermediate Dykes,3
17568,33.52,38.7,Intermediate to Ultramafic Volcanics,5
17569,0,8.53,Casing,1
17569,8.53,31.08,Intermediate to Ultramafic Volcanics,5
17570,0,5.79,Casing,1
17570,5.79,9.6,Early Diorite,2
17570,9.6,17.37,Intermediate to Ultramafic Volcanics,5
17570,17.37,22.25,Shear Zone,4
17570,22.25,23.16,Felsic to Intermediate Dykes,3
17570,23.16,24.53,Intermediate to Ultramafic Volcanics,5
17570,24.53,26.82,Felsic to Intermediate Dykes,3
17570,26.82,31.08,Intermediate to Ultramafic Volcanics,5
17571,0,9.14,Casing,1
17571,9.14,11.43,Intermediate to Ultramafic Volcanics,5
17571,11.43,17.67,Felsic to Intermediate Dykes,3
17571,17.67,44.8,Intermediate to Ultramafic Volcanics,5
17572,0,11.58,Casing,1
17572,11.58,13.41,Shear Zone,4
17572,13.41,16.15,Felsic to Intermediate Dykes,3
17572,16.15,17.52,Shear Zone,4
17572,17.52,18.59,Felsic to Intermediate Dykes,3
17572,18.59,19.81,Shear Zone,4
17572,19.81,21.64,Felsic to Intermediate Dykes,3
17572,21.64,25.75,Shear Zone,4
17572,25.75,28.34,Felsic to Intermediate Dykes,3
17572,28.34,31.39,Shear Zone,4
17573,0,11.27,Casing,1
17573,11.27,17.83,Intermediate to Ultramafic Volcanics,5
17573,17.83,30.48,Felsic to Intermediate Dykes,3
17573,30.48,41.45,Shear Zone,4
17586,0,9.14,Casing,1
17586,9.14,21.94,Intermediate to Ultramafic Volcanics,5
17586,21.94,22.55,Felsic to Intermediate Dykes,3
17587,0,11.88,Casing,1
17587,11.88,20.42,Intermediate to Ultramafic Volcanics,5
17587,20.42,28.49,Felsic to Intermediate Dykes,3
17587,28.49,40.53,Intermediate to Ultramafic Volcanics,5
17588,0,10.97,Casing,1
17588,10.97,11.27,Felsic to Intermediate Dykes,3
17588,11.27,12.8,Shear Zone,4
17588,12.8,18.59,Intermediate to Ultramafic Volcanics,5
17588,18.59,39.01,Shear Zone,4
17589,0,12.19,Casing,1
17589,12.19,18.13,Intermediate to Ultramafic Volcanics,5
17589,18.13,21.64,Felsic to Intermediate Dykes,3
17589,21.64,29.56,Intermediate to Ultramafic Volcanics,5
17589,29.56,32,Felsic to Intermediate Dykes,3
17589,32,39.83,Intermediate to Ultramafic Volcanics,5
17589,39.83,45.72,Felsic to Intermediate Dykes,3
17589,45.72,50.59,Intermediate to Ultramafic Volcanics,5
17589,50.59,52.12,Felsic to Intermediate Dykes,3
17590,0,11.88,Casing,1
17590,11.88,20.42,Intermediate to Ultramafic Volcanics,5
17590,20.42,25.63,Felsic to Intermediate Dykes,3
17590,25.63,44.5,Intermediate to Ultramafic Volcanics,5
17591,0,12.19,Casing,1
17591,12.19,14.93,Shear Zone,4
17591,14.93,23.31,Felsic to Intermediate Dykes,3
17591,23.31,24.99,Shear Zone,4
17591,24.99,28.04,Intermediate to Ultramafic Volcanics,5
17591,28.04,34.13,Shear Zone,4
17591,34.13,39.01,Intermediate to Ultramafic Volcanics,5
17591,39.01,49.22,Felsic to Intermediate Dykes,3
17591,49.22,54.55,Intermediate to Ultramafic Volcanics,5
17591,54.55,55.47,Felsic to Intermediate Dykes,3
17591,55.47,60.65,Intermediate to Ultramafic Volcanics,5
17591,60.65,62.48,Shear Zone,4
17592,0,12.19,Casing,1
17592,12.19,20.11,Intermediate to Ultramafic Volcanics,5
17592,20.11,21.79,Felsic to Intermediate Dykes,3
17592,21.79,23.56,Intermediate to Ultramafic Volcanics,5
17592,23.56,28.95,Felsic to Intermediate Dykes,3
17592,28.95,41.91,Intermediate to Ultramafic Volcanics,5
17592,41.91,42.21,Felsic to Intermediate Dykes,3
17592,42.21,45.9,Intermediate to Ultramafic Volcanics,5
17592,45.9,46.45,Felsic to Intermediate Dykes,3
17592,46.45,53.03,Intermediate to Ultramafic Volcanics,5
17593,0,9.14,Casing,1
17593,9.14,21.33,Felsic to Intermediate Dykes,3
17593,21.33,39.01,Intermediate to Ultramafic Volcanics,5
17594,0,7.62,Casing,1
17594,7.62,8.53,Intermediate to Ultramafic Volcanics,5
17594,8.53,39.01,Felsic to Intermediate Dykes,3
17594,39.01,42.67,Intermediate to Ultramafic Volcanics,5
17594,42.67,43.43,Felsic to Intermediate Dykes,3
17594,43.43,46.93,Intermediate to Ultramafic Volcanics,5
17594,46.93,49.53,Felsic to Intermediate Dykes,3
17594,49.53,49.83,Intermediate to Ultramafic Volcanics,5
17594,49.83,51.2,Felsic to Intermediate Dykes,3
17600,0,6.09,Casing,1
17600,6.09,6.7,Shear Zone,4
17600,6.7,23.62,Intermediate to Ultramafic Volcanics,5
17600,23.62,24.99,Shear Zone,4
17600,24.99,32.91,Intermediate to Ultramafic Volcanics,5
17601,0,6.09,Casing,1
17601,6.09,8.68,Felsic to Intermediate Dykes,3
17601,8.68,26.51,Early Diorite,2
17602,0,7.31,Casing,1
17602,7.31,31.54,Felsic to Intermediate Dykes,3
17602,31.54,32.61,Shear Zone,4
17602,32.61,42.06,Early Diorite,2
17603,0,5.79,Casing,1
17603,5.79,33.52,Intermediate to Ultramafic Volcanics,5
17603,33.52,36.6,Felsic to Intermediate Dykes,3
17603,36.6,36.88,Intermediate to Ultramafic Volcanics,5
17604,0,10.66,Casing,1
17604,10.66,12.19,Felsic to Intermediate Dykes,3
17604,12.19,20.42,Intermediate to Ultramafic Volcanics,5
17604,20.42,26.97,Felsic to Intermediate Dykes,3
17604,26.97,32.61,Intermediate to Ultramafic Volcanics,5
17605,0,9.14,Casing,1
17605,9.14,19.2,Intermediate to Ultramafic Volcanics,5
17606,0,10.66,Casing,1
17606,10.66,42.06,Intermediate to Ultramafic Volcanics,5
17607,0,5.79,Casing,1
17607,5.79,19.81,Intermediate to Ultramafic Volcanics,5
17607,19.81,25.84,Felsic to Intermediate Dykes,3
17607,25.84,27.12,Shear Zone,4
17607,27.12,28.95,Early Diorite,2
17607,28.95,29.87,Felsic to Intermediate Dykes,3
17608,0,11.58,Casing,1
17608,11.58,25.29,Intermediate to Ultramafic Volcanics,5
17608,25.29,29.56,Felsic to Intermediate Dykes,3
17608,29.56,35.35,Intermediate to Ultramafic Volcanics,5
17608,35.35,37.33,Felsic to Intermediate Dykes,3
17608,37.33,38.86,Intermediate to Ultramafic Volcanics,5
17608,38.86,39.01,Felsic to Intermediate Dykes,3
17609,0,8.83,Casing,1
17609,8.83,14.78,Intermediate to Ultramafic Volcanics,5
17609,14.78,16.3,Felsic to Intermediate Dykes,3
17609,16.3,33.37,Intermediate to Ultramafic Volcanics,5
17609,33.37,38.1,Felsic to Intermediate Dykes,3
17609,38.1,43.03,Intermediate to Ultramafic Volcanics,5
17609,43.03,47.3,Felsic to Intermediate Dykes,3
17609,47.3,51.81,Intermediate to Ultramafic Volcanics,5
17610,0,9.75,Casing,1
17610,9.75,11.15,Intermediate to Ultramafic Volcanics,5
17610,11.15,12.31,Felsic to Intermediate Dykes,3
17610,12.31,27.82,Intermediate to Ultramafic Volcanics,5
17610,27.82,29.56,Felsic to Intermediate Dykes,3
17610,29.56,31.94,Intermediate to Ultramafic Volcanics,5
17610,31.94,35.96,Felsic to Intermediate Dykes,3
17611,0,17.37,Casing,1
17611,17.37,19.81,Intermediate to Ultramafic Volcanics,5
17611,19.81,22.25,Felsic to Intermediate Dykes,3
17611,22.25,50.9,Intermediate to Ultramafic Volcanics,5
17612,0,4.57,Casing,1
17612,4.57,23.13,Intermediate to Ultramafic Volcanics,5
17612,23.13,33.37,Felsic to Intermediate Dykes,3
17612,33.37,44.04,Intermediate to Ultramafic Volcanics,5
17612,44.04,44.65,Felsic to Intermediate Dykes,3
17612,44.65,45.11,Intermediate to Ultramafic Volcanics,5
17613,0,4.57,Casing,1
17613,4.57,17.73,Intermediate to Ultramafic Volcanics,5
17613,17.73,26.06,Felsic to Intermediate Dykes,3
17613,26.06,32.91,Intermediate to Ultramafic Volcanics,5
17614,0,8.53,Casing,1
17614,8.53,24.99,Intermediate to Ultramafic Volcanics,5
17614,24.99,27.64,Felsic to Intermediate Dykes,3
17614,27.64,28.49,Shear Zone,4
17614,28.49,29.56,Intermediate to Ultramafic Volcanics,5
17614,29.56,38.7,Early Diorite,2
17614,38.7,50.9,Intermediate to Ultramafic Volcanics,5
17614,50.9,52.73,Felsic to Intermediate Dykes,3
17615,0,6.09,Casing,1
17615,6.09,7.62,Early Diorite,2
17615,7.62,22.86,Intermediate to Ultramafic Volcanics,5
17615,22.86,26.82,Early Diorite,2
17615,26.82,39.92,Intermediate to Ultramafic Volcanics,5
17615,39.92,45.11,Felsic to Intermediate Dykes,3
17616,0,6.7,Casing,1
17616,6.7,12.8,Intermediate to Ultramafic Volcanics,5
17616,12.8,16.76,Early Diorite,2
17616,16.76,24.84,Intermediate to Ultramafic Volcanics,5
17616,24.84,29.87,Felsic to Intermediate Dykes,3
17617,0,12.19,Casing,1
17617,12.19,18.28,Intermediate to Ultramafic Volcanics,5
17617,18.28,23.4,Intermediate to Ultramafic Volcanics,5
17617,23.4,25.05,Felsic to Intermediate Dykes,3
17617,25.05,30.48,Early Diorite,2
17617,30.48,34.74,Intermediate to Ultramafic Volcanics,5
17617,34.74,39.01,Shear Zone,4
17638,0,8.83,Casing,1
17638,8.83,26.51,Felsic to Intermediate Dykes,3
17638,26.51,31.39,Early Diorite,2
17638,31.39,35.96,Felsic to Intermediate Dykes,3
17639,0,7.62,Casing,1
17639,7.62,14.17,Felsic to Intermediate Dykes,3
17639,14.17,30.17,Intermediate to Ultramafic Volcanics,5
17639,30.17,32.61,Felsic to Intermediate Dykes,3
17639,32.61,35.66,Intermediate to Ultramafic Volcanics,5
17640,0,7.92,Casing,1
17640,7.92,35.96,Felsic to Intermediate Dykes,3
17641,0,12.19,Casing,1
17641,12.19,13.86,Shear Zone,4
17641,13.86,15.54,Felsic to Intermediate Dykes,3
17641,15.54,19.81,Shear Zone,4
17641,19.81,24.07,Felsic to Intermediate Dykes,3
17641,24.07,35.35,Shear Zone,4
17642,0,5.79,Casing,1
17642,5.79,20.11,Intermediate to Ultramafic Volcanics,5
17642,20.11,29.47,Felsic to Intermediate Dykes,3
17642,29.47,30.32,Shear Zone,4
17642,30.32,39.01,Intermediate to Ultramafic Volcanics,5
17643,0,10.05,Casing,1
17643,10.05,13.25,Shear Zone,4
17643,13.25,24.84,Intermediate to Ultramafic Volcanics,5
17643,24.84,25.6,Felsic to Intermediate Dykes,3
17643,25.6,27.43,Intermediate to Ultramafic Volcanics,5
17643,27.43,29.1,Felsic to Intermediate Dykes,3
17643,29.1,39.01,Intermediate to Ultramafic Volcanics,5
17644,0,4.87,Casing,1
17644,4.87,23.04,Intermediate to Ultramafic Volcanics,5
17644,23.04,29.56,Felsic to Intermediate Dykes,3
17644,29.56,32.15,Intermediate to Ultramafic Volcanics,5
17644,32.15,33.13,Felsic to Intermediate Dykes,3
17644,33.13,39.01,Intermediate to Ultramafic Volcanics,5
17645,0,11.88,Casing,1
17645,11.88,13.1,Felsic to Intermediate Dykes,3
17645,13.1,16.15,Shear Zone,4
17645,16.15,29.56,Intermediate to Ultramafic Volcanics,5
17645,29.56,31.08,Felsic to Intermediate Dykes,3
17645,31.08,39.01,Intermediate to Ultramafic Volcanics,5
17670,0,11.58,Casing,1
17670,11.58,15.39,Shear Zone,4
17670,15.39,21.48,Felsic to Intermediate Dykes,3
17670,21.48,27.27,Intermediate to Ultramafic Volcanics,5
17670,27.27,36.57,Felsic to Intermediate Dykes,3
17671,0,8.53,Casing,1
17671,8.53,18.28,Intermediate to Ultramafic Volcanics,5
17671,18.28,23.46,Felsic to Intermediate Dykes,3
17671,23.46,24.07,Intermediate to Ultramafic Volcanics,5
17671,24.07,24.99,Felsic to Intermediate Dykes,3
17671,24.99,30.78,Intermediate to Ultramafic Volcanics,5
17671,30.78,31.39,Shear Zone,4
17671,31.39,33.52,Felsic to Intermediate Dykes,3
17671,33.52,34.44,Shear Zone,4
17671,34.44,39.62,Intermediate to Ultramafic Volcanics,5
17672,0,15.84,Casing,1
17672,15.84,18.44,Felsic to Intermediate Dykes,3
17672,18.44,38.4,Intermediate to Ultramafic Volcanics,5
17672,38.4,39.01,Felsic to Intermediate Dykes,3
17673,0,9.75,Casing,1
17673,9.75,13.1,Felsic to Intermediate Dykes,3
17673,13.1,25.45,Intermediate to Ultramafic Volcanics,5
17673,25.45,27.58,Shear Zone,4
17673,27.58,30.32,Felsic to Intermediate Dykes,3
17673,30.32,36.88,Intermediate to Ultramafic Volcanics,5
17674,0,14.02,Casing,1
17674,14.02,16.3,Felsic to Intermediate Dykes,3
17674,16.3,17.98,Shear Zone,4
17674,17.98,27.58,Intermediate to Ultramafic Volcanics,5
17674,27.58,27.88,Felsic to Intermediate Dykes,3
17674,27.88,33.37,Intermediate to Ultramafic Volcanics,5
17674,33.37,33.98,Felsic to Intermediate Dykes,3
17674,33.98,39.01,Intermediate to Ultramafic Volcanics,5
17837,0,6.85,Casing,1
17837,6.85,13.56,Intermediate to Ultramafic Volcanics,5
17837,13.56,44.74,Indifferenciated Tuffs,6
17837,44.74,45.47,Intermediate to Ultramafic Volcanics,5
17837,45.47,73.6,Indifferenciated Tuffs,6
17837,73.6,77.72,Indifferenciated Tuffs,6
17837,77.72,84.58,Indifferenciated Tuffs,6
17837,84.58,92.99,Intermediate to Ultramafic Volcanics,5
17838,0,12.86,Casing,1
17838,12.86,16.06,Intermediate to Ultramafic Volcanics,5
17838,16.06,33.25,Indifferenciated Tuffs,6
17838,33.25,58.09,Intermediate to Ultramafic Volcanics,5
17838,58.09,62.3,Early Diorite,2
17838,62.3,78.33,Intermediate to Ultramafic Volcanics,5
17838,78.33,87.93,Early Diorite,2
17838,87.93,102.74,Intermediate to Ultramafic Volcanics,5
17838,102.74,104.33,Early Diorite,2
17838,104.33,106.98,Intermediate to Ultramafic Volcanics,5
17839,0,9.14,Casing,1
17839,9.14,18.44,Intermediate to Ultramafic Volcanics,5
17839,18.44,22.4,Early Diorite,2
17839,22.4,27.37,Intermediate to Ultramafic Volcanics,5
17839,27.37,28.01,Felsic to Intermediate Dykes,3
17839,28.01,35.41,Intermediate to Ultramafic Volcanics,5
17839,35.41,38.46,Early Diorite,2
17839,38.46,43.73,Intermediate to Ultramafic Volcanics,5
17839,43.73,44.8,No Litho,0
17840,0,19.81,Casing,1
17840,19.81,34.62,Intermediate to Ultramafic Volcanics,5
17840,34.62,36.69,Felsic to Intermediate Dykes,3
17840,36.69,59.74,Intermediate to Ultramafic Volcanics,5
17840,59.74,61.02,Shear Zone,4
17840,61.02,69.15,Felsic to Intermediate Dykes,3
17840,69.15,80.83,Intermediate to Ultramafic Volcanics,5
17840,80.83,91.98,Intermediate to Ultramafic Volcanics,5
17841,0,10.36,Casing,1
17841,10.36,37.82,Intermediate to Ultramafic Volcanics,5
17841,37.82,50.38,Intermediate to Ultramafic Volcanics,5
17841,50.38,51.32,Early Diorite,2
17841,51.32,71.2,Intermediate to Ultramafic Volcanics,5
17841,71.2,74.06,Shear Zone,4
17841,74.06,90.64,Intermediate to Ultramafic Volcanics,5
17841,90.64,91.07,Intermediate to Ultramafic Volcanics,5
17841,91.07,91.65,Early Diorite,2
17842,0,13.56,Casing,1
17842,13.56,14.32,Indifferenciated Tuffs,6
17842,14.32,17,Granodiorite,11
17842,17,26.76,Indifferenciated Tuffs,6
17842,26.76,30.08,Intermediate to Ultramafic Volcanics,5
17842,30.08,35.47,Indifferenciated Tuffs,6
17842,35.47,38.13,Granodiorite,11
17842,38.13,39.16,Indifferenciated Tuffs,6
17842,39.16,40.41,Indifferenciated Tuffs,6
17842,40.41,41.6,Indifferenciated Tuffs,6
17842,41.6,46.26,Indifferenciated Tuffs,6
17842,46.26,51.32,Intermediate to Ultramafic Volcanics,5
17842,51.32,59.83,Felsic to Intermediate Dykes,3
17842,59.83,76.96,Shear Zone,4
17843,0,3.5,Casing,1
17843,3.5,4.81,Shear Zone,4
17843,4.81,14.47,Early Diorite,2
17843,14.47,25.51,Intermediate to Ultramafic Volcanics,5
17843,25.51,39.53,Early Diorite,2
17843,39.53,77.41,Intermediate to Ultramafic Volcanics,5
17844,0,11.27,Casing,1
17844,11.27,19.81,Intermediate to Ultramafic Volcanics,5
17844,19.81,23.19,Early Diorite,2
17844,23.19,40.81,Intermediate to Ultramafic Volcanics,5
17844,40.81,42.82,Shear Zone,4
17844,42.82,46.93,Felsic to Intermediate Dykes,3
17844,46.93,48.88,Intermediate to Ultramafic Volcanics,5
17844,48.88,53.4,Early Diorite,2
17844,53.4,54.4,Intermediate to Ultramafic Volcanics,5
17844,54.4,56.14,Felsic to Intermediate Dykes,3
17844,56.14,60.13,Intermediate to Ultramafic Volcanics,5
17844,60.13,63.85,Felsic to Intermediate Dykes,3
17844,63.85,67.05,Early Diorite,2
17844,67.05,68.21,Intermediate to Ultramafic Volcanics,5
17844,68.21,78.88,Early Diorite,2
17844,78.88,79.91,Intermediate to Ultramafic Volcanics,5
17844,79.91,83.3,Early Diorite,2
17844,83.3,84.88,Intermediate to Ultramafic Volcanics,5
17844,84.88,91.74,Felsic to Intermediate Dykes,3
17844,91.74,91.98,Intermediate to Ultramafic Volcanics,5
17845,0,11.67,Casing,1
17845,11.67,35.5,Intermediate to Ultramafic Volcanics,5
17845,35.5,44.8,Early Diorite,2
17845,44.8,46.63,Shear Zone,4
17845,46.63,51.54,Early Diorite,2
17845,51.54,53.58,Intermediate to Ultramafic Volcanics,5
17845,53.58,56.32,Shear Zone,4
